"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Admin","3","0","Привілеї адміністратора","0"
"0","","0","User","3","0","Безпека","0"
"0","","0","Admin","1","0","Вітання","0"
"0","","0","Shop","1","0","Кілька екземплярів","0"
"0","","0","User","1","0","Параметри за замовчуванням","0"
"0","","0","Shop","4","0","Керування кількістю товарів","0"
"0","","0","Admin","1","0","Безпека","0"
"0","","0","User","1","0","Атрибути користувача","0"
"0","","0","Shop","1","0","Атрибути магазину","0"
"0","","0","Admin","1","0","Наслідування","0"
"0","","0","Privileges","1","0","Параметри за замовчуванням","0"
"0","","0","Shop","1","0","Стан магазину","0"
"0","","0","Shop","1","0","Параметри за замовчуванням","0"
"0","","0","Shop","1","0","Інформація про магазин","0"
"0","","0","Privileges","1","0","Відображення привілеїв","0"
"0","","0","Admin","1","0","Інформація про адміністратора","0"
"0","","0","User","1","0","Вітання","0"
"0","","0","User","1","0","Інформація про користувача","0"
